parks_name,id,name,latitude,longitude,status,wait_time,ll_time,last_updated
Hollywood Studios,3b290419-8ca2-44bc-a710-a6c83fca76ec,Star Tours – The Adventures Continue,28.355695,-81.558891,DOWN,80,19:45,2026-02-16 17:42:22
Hollywood Studios,6f6998e8-a629-412c-b964-2cb06af8e26b,The Twilight Zone Tower of Terror™,28.359553,-81.559772,OPERATING,95,19:55,2026-02-16 17:44:22
Animal Kingdom,7a5af3b7-9bc1-4962-92d0-3ea9c9ce35f0,Na'vi River Journey,28.355257,-81.591641,OPERATING,5,19:20,2026-02-16 17:32:22
Animal Kingdom,24cf863c-b6ba-4826-a056-0b698989cbf7,Avatar Flight of Passage,28.355554,-81.592147,OPERATING,50,19:55,2026-02-16 17:33:22
Animal Kingdom,64a6915f-a835-4226-ba5c-8389fc4cade3,Expedition Everest - Legend of the Forbidden Mountain,28.3584769119,-81.5873781396,OPERATING,90,19:05,2026-02-16 17:21:22
Animal Kingdom,55c531b6-3ce2-4c47-a8a1-0dc9107d825b,DINOSAUR,28.355307,-81.588444,OPERATING,50,19:35,2026-02-16 17:25:22
Animal Kingdom,d58d9262-ec95-4161-80a0-07ca43b2f5f3,Kali River Rapids,28.3587834288,-81.5889412165,OPERATING,50,18:45,2026-02-16 17:31:22
Animal Kingdom,32e01181-9a5f-4936-8a77-0dace1de836c,Kilimanjaro Safaris,28.359331,-81.59228,OPERATING,70,18:10,2026-02-16 17:20:22
Animal Kingdom,1627c724-112c-4361-aeba-dae80082c90d,TriceraTop Spin,28.356503,-81.588074,OPERATING,55,18:50,2026-02-16 17:30:22
Animal Kingdom,4f391f0e-52be-4f9d-99d6-b3ae0373b43c,Wildlife Express Train,28.3598097347,-81.5914175464,OPERATING,35,18:25,2026-02-16 17:25:22
